,Address,Price SAR,Size m²,Details,District
0,  شارع ابن ماجة حي السعادة  ,7000,31,"5 فتحات تبقى منها فتحة وحدة فقط للإيجار
الفتحه اجارها ب7 آلاف ريال بالسنة
و 6 آلاف ريال للدفعه الواحده",حي السعادة - الرياض
4,  شارع أبي ذر الغفاري حي الربوة  ,15000,40,"محل فتحة وحدة
حي الربوه ( شارع الملاحم )
شارع ابي ذر الغفاري تقاطع الامير متعب بن عبدالعزيز",حي الربوة - الرياض
5,  حي ديراب  ,75600,126,"الحزم بلازا هو أحد مشاريع شركة الورود للاستثمار العقاري جنوب غرب مدينة الرياض تم اختيار الموقع بعد دراسة حاجة المخطط و المنطقة السكنيه للمشاريع التجارية و هو أول مشروع تجاري داخل المخطط المملوك للشركة
و يتكون البلازا من  ١٥ محل تجاري بمساحات مختلفه
و...",حي ديراب - الرياض
7,  شارع المهلهل بن المزرع حي المروة  ,70000,88,"معارض تجارية للإيجار على طريق الامام مسلم 

💠 مساحات مختلفة تبدأ من 88 م الى 143 م

💠 معارض مع ميزانيين.  

🔹كود العرض: C108",حي المروة - الرياض
8,  شارع الطائف حي ظهرة لبن  ,525000,1050,عقار جديد ميزانين شهادة اتمام البناء مكتملة شهادة الدفاع المدني مكتملة عداد كهرباء منفصل ،كل فتحة 210 متر، ادارة صيانة 24 ساعة مواقف اضافية متوفرة، متوفر خمس فتحات او اقل متصلة، غرف اضافية متوفرة، غرف عمال في موقع مختلف متوفرة. الاسعار مختلفة حسب عدد...,حي ظهرة لبن - الرياض
9,  الطريق الدائري الجنوبي حي الفيصلية  ,99000,328,"معرض مكون من دورين على طريق الدايري الجنوبي موقع مميز ومساحه ممتازه


ونرحب باستفساراتكم وأسالتكم على الأرقام التالية :-
‏📞:0554594333
‏☎️:0112411526
‏☎️:0112412354
‏✉️: ⁦‪yaon@alowaidah.org.sa‬⁩",حي الفيصلية - الرياض
10,  شارع النهار حي السعادة  ,7000,80,"محل كان مطعم سابقا 
وهو عباره عن ثلاث فتحات 

ملاحظه 
اغراض المطعم موجوده للي حاب يكمل بمشروع المطعم",حي السعادة - الرياض
11,  شارع العليا حي المروج  ,150000,77,"بدأ التاجير في مجمع رادن التجاري والمكتبي الجديد الأفخم في قلب الرياض... 

بتصاميم وأفكار مميزة تناسب جميع احتياجاتك ومساحات مختلفة وشرفات بإطلالاته وجلساته الخارجية المريحة خُطِطَت لتكون بيئة مثالية فاخرة للمكاتب والمطاعم والمقاهي للإسترخاء والاستمت...",حي المروج - الرياض
14,  شارع شقراء حي الفيصلية  ,28000,56,"محل للايجار في شارع شقراء موقع مميز 

ونرحب باستفساراتكم وأسالتكم على الأرقام التالية :-
‏📞:0554594333
‏☎️:0112411526
‏☎️:0112412354
‏✉️: ⁦‪yaon@alowaidah.org.sa‬⁩

شركة العويضة العقارية",حي الفيصلية - الرياض
15,  طريق الملك عبدالعزيز الفرعي حي الورود  ,110000,95,"محلين على طريق الملك عبدالعزيز من افضل المواقع على طريق الملك عبدالعزيز 

للتواصل على الرقم:

0505235717",حي الورود - الرياض
16,  طريق الامير سلمان بن عبدالعزيز حي الفيصلية  ,80000,132,"معرض بطريق المدينة المنورة مخرج ١٧ المعرض جديد وبحالة ممتازة وموقع مميز 


ونرحب باستفساراتكم وأسالتكم على الأرقام التالية :-
‏📞:0554594333
‏☎️:0112411526
‏☎️:0112412354
‏✉️: ⁦‪yaon@alowaidah.org.sa‬⁩

شركة العويضة العقارية",حي الفيصلية - الرياض
17,  شارع عنيزة حي الريان  ,35000,42,"محل فتحة وحده شارع عنيزه حي الريان
توجد فتحة اخرى ملاصقة بهذا المحل بنفس القيمة",حي الروابي - الرياض
19,  طريق الملك عبدالعزيز الفرعي حي المرسلات  ,220000,458,"5 فتحات مساحة 458 متر
طريق الملك عبدالعزيز حي المرسلات
التأجير لل5 فتحات كامله",حي المرسلات - الرياض
22,  شارع شقراء حي الفيصلية  ,50000,99,"محل في شارع شقراء اساه معرضين مفتوحات على بعض ومن رغب بقسمها فتحة واحده لا مانع موقع مميز ومحل مرتب وجاهز 

ونرحب باستفساراتكم وأسالتكم على الأرقام التالية :-
‏📞:0554594333
‏☎️:0112411526
‏☎️:0112412354
‏✉️: ⁦‪yaon@alowaidah.org.sa‬⁩

شركة العويضة ا...",حي الفيصلية - الرياض
24,  شارع عبدالمغيث الحربي حي أم الحمام الغربي  ,12000,31,"محل فتحة واحدة
حي ام الحمام طريق العروبة الفرعي
خلف هايبر بندة",حي ام الحمام الغربي - الرياض
25,  شارع نجران حي ظهرة لبن  ,45000,100,"صالة ميزانين
العرض ٥ متر
العمق 
١٥ متر الدور الارضي 
٥ متر الدور العلوي
المساحة الاجمالية ١٠٠ متر",حي ظهرة لبن - الرياض
28,  شارع أبي ذر الغفاري حي الربوة  ,15000,40,"محل فتحة وحدة
حي الربوه ( شارع الملاحم )
شارع ابي ذر الغفاري تقاطع الامير متعب بن عبدالعزيز",حي الربوة - الرياض
29,  شارع خالد بن الوليد حي الملك فيصل  ,144000,160,,حي الملك فيصل - الرياض
30,  طريق الملك فهد الفرعي حي الملقا  ,580000,620,"معرض للايجار على طريق الملك فهد يفتح شرق 
مساحتة 620م ايجارة بالسنة 580 الف",حي الملقا - الرياض
31,    حي الفيصلية  ,24000,46,"محل للايجار شارع شقراء موقع مميز ويتوفر فيه دور علوي للتخزين 

ونرحب باستفساراتكم وأسالتكم على الأرقام التالية :-
‏📞:0554594333
‏☎️:0112411526
‏☎️:0112412354
‏✉️: ⁦‪yaon@alowaidah.org.sa‬⁩

شركة العويضة العقارية",حي الفيصلية - الرياض
32,  شارع روضة العقيق حي المرقب  ,14000,40,"يوجد 7 محلات فاضية
3 فتحات مع بعض متصلة و 4 فتحات منفصلة
شارع ابي ايوب الانصاري حي المرقب",حي ثليم - الرياض
34,  حي العارض  ,386100,297,"مساحات المعارض 
404 متر 
347 متر 
297 متر 
مجهزه بدفاع المدني 
توجد خدمات النظافه الخارجيه 
التشجير طبيعي 
الامن 
التشجير 
سعر المتر 1300 ريال",حي العارض - الرياض
35,  شارع السمعاني حي الزهرة  ,10000,25,"محلات تجاريةللايجار 
 مساحة الفتحة 25 متر مربع
ابواب بايكة
وخلفها قزاز
ومجهزة للمكيف الاسبليت",حي الزهرة - الرياض
36,    حي ظهرة لبن  ,25000,54,عمارة تجارية ممتازه على شارعين عرض الشوارع 40 * 40  يوجد فيها محل للإيجار الي بالجهه الشرقية مساحة المحل 40 م2 مطلوب فيه 25 الف سنوي جنب مدخل الشقق مفروشة ويوجد محل ايضًا من جهة الجنوبيه محل مساحته 54 م2 مطلوب فيه 30 الف سنوي جميعها متوفر بها دورة مي...,حي ظهرة لبن - الرياض
37,  الطريق الدائري الشمالي الفرعي حي النخيل  ,550000,222,"ريف سنتر بدأ التاجير في ارقى قرية اوروبية جبلية في مدينة الرياض حيث الحداثة والعراقة والتصاميم الخلابة.

يقع المركز في حي النخيل، تقاطع الطريق الدائري الشمالي مع طريق الامير تركي الاول, المساحة التأجيرية: 11,428
يسعدنا توصالك معنا لمزيد من المعلومات ...",حي النخيل - الرياض
